KXBTC15M-26JAN052030-30: YES @ 57% | Edge:  18.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 59% | Edge:  16.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 59% | Edge:  16.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 48% | Edge:  27.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 41% | Edge:  34.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 52% | Edge:  23.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 51% | Edge:  24.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 60% | Edge:  15.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 65% | Edge:  10.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 59% | Edge:  16.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 64% | Edge:  11.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 51% | Edge:  24.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 48% | Edge:  27.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 38% | Edge:  37.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 60% | Edge:  15.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 61% | Edge:  14.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 65% | Edge:  10.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052030-30: YES @ 55% | Edge:  20.00% | Result: YES ✅ WIN

KXETH15M-26JAN052045-45: YES @ 23% | Edge:  52.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 23% | Edge:  52.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 19% | Edge:  56.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 2% | Edge:  73.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 20% | Edge:  55.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 13% | Edge:  62.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 14% | Edge:  61.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 12% | Edge:  63.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 2% | Edge:  73.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 2% | Edge:  73.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 13% | Edge:  62.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 8% | Edge:  67.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 4% | Edge:  71.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 4% | Edge:  71.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 3% | Edge:  72.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 3% | Edge:  72.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 1% | Edge:  74.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 2% | Edge:  73.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 1% | Edge:  74.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 3% | Edge:  72.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 2% | Edge:  73.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 2% | Edge:  73.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052045-45: YES @ 1% | Edge:  74.00% | Result: NO ❌ LOSS

KXBTC15M-26JAN052045-45: YES @ 8% | Edge:  67.00% | Result: NO ❌ LOSS

KXBTC15M-26JAN052045-45: YES @ 4% | Edge:  71.00% | Result: NO ❌ LOSS

KXBTC15M-26JAN052045-45: YES @ 2% | Edge:  73.00% | Result: NO ❌ LOSS

KXBTC15M-26JAN052045-45: YES @ 1% | Edge:  74.00% | Result: NO ❌ LOSS

KXBTC15M-26JAN052100-00: NO @ 43% | Edge:  27.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052100-00: NO @ 1% | Edge:  69.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052100-00: NO @ 12% | Edge:  58.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052100-00: NO @ 3% | Edge:  67.00% | Result: NO ✅ WIN

KXETH15M-26JAN052100-00: NO @ 29% | Edge:  41.00% | Result: NO ✅ WIN

KXETH15M-26JAN052100-00: NO @ 27% | Edge:  43.00% | Result: NO ✅ WIN

KXETH15M-26JAN052100-00: NO @ 24% | Edge:  46.00% | Result: NO ✅ WIN

KXETH15M-26JAN052100-00: NO @ 32% | Edge:  38.00% | Result: NO ✅ WIN

KXETH15M-26JAN052100-00: NO @ 31% | Edge:  39.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052100-00: NO @ 28% | Edge:  42.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052100-00: NO @ 33% | Edge:  37.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052100-00: NO @ 39% | Edge:  31.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052100-00: NO @ 39% | Edge:  31.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052100-00: NO @ 31% | Edge:  39.00% | Result: NO ✅ WIN

KXETH15M-26JAN052100-00: NO @ 38% | Edge:  32.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052100-00: NO @ 37% | Edge:  33.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052100-00: NO @ 31% | Edge:  39.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052100-00: NO @ 36% | Edge:  34.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052100-00: NO @ 37% | Edge:  33.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052100-00: NO @ 39% | Edge:  31.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052100-00: NO @ 52% | Edge:  18.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052115-15: NO @ 1% | Edge:  69.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052115-15: NO @ 1% | Edge:  69.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 25% | Edge:  45.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 10% | Edge:  60.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 16% | Edge:  54.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 2% | Edge:  68.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 2% | Edge:  68.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 2% | Edge:  68.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 6% | Edge:  64.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 10% | Edge:  60.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 3% | Edge:  67.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 9% | Edge:  61.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 10% | Edge:  60.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 4% | Edge:  66.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 2% | Edge:  68.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 11% | Edge:  59.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 13% | Edge:  57.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 19% | Edge:  51.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 24% | Edge:  46.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 31% | Edge:  39.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 28% | Edge:  42.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 17% | Edge:  53.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: YES @ 59% | Edge:  16.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052115-15: YES @ 60% | Edge:  15.00% | Result: NO ❌ LOSS

